Harekeli Kelime;Kelime;Anlam
"";"ًٍ";"Bu bir hareke işaretidir, tek başına bir kelime değildir."
"١.";"1.";"Birinci, ilk"
"ثَالِثٌ";"3.";"Üçüncü"
"٦";"6";"Altı"
"أَدَنَا";"Adana";"Adana, Türkiye'de bir şehir"
"أَنَاضُولُ";"Anadolu";"Anadolu"
"عَرَبِيَّةٌ";"Arapça";"Arapça, Arap dili"
"بُورْصَا";"Bursa";"Bursa (şehir adı)"
"مَحْمُودٌ";"Mahmud";"Mahmud, övülmüş, beğenilmiş"
"مُصْطَفَى";"Mustafa";"Mustafa, seçilmiş, seçkin"
"تُرْكِيَّةٌ";"Türkçe";"Türkçe"
"أ";"a";"A, bir harf"
"صَانِعُ الْمَفَاتِيحِ";"anahtarcı";"Anahtarcı"
"فَقَطْ";"ancak";"Ancak, sadece, yalnız"
"بَخْتِيَار";"bahtiyar";"Mutlu, bahtiyar"
"بَلْطَمَةٌ";"baltalama";"baltalama, engelleme"
"كُوبٌ";"bardak";"bardak, kadeh"
"طَبِيبٌ رَئِيسٌ";"başhekim";"Başhekim"
"بِنَفْسِي";"bence";"Bence, bana göre"
"بُلُنْدُو";"bulundu";"Bulundu, mevcut"
"يُوجَدُ";"bulunuyor";"bulunuyor, mevcuttur"
"عَرَبَةٌ";"cart";"Araba, el arabası, cart"
"أَعْلَى مَقَامٍ";"en yüksek makam";"En yüksek makam, en yüce mevki"
"تَرَادُفٌ";"eş anlam";"Eş anlamlılık, sinonim"
"أَشْجَارٌ";"eşcarun";"Ağaçlar, eşcarun"
"فَلَمَّا";"felemma";"Ne zaman ki, olunca, olduğu zaman"
"فُوتُوكُوبِي";"fotokopi";"fotokopi"
"جَارْسُون";"garson";"Garson"
"أَنَا آتٍ";"geliyorum";"Geliyorum"
"مُبَادِرٌ";"girişken";"Girişken, atılgan"
"جَرِيبٌ";"grip";"Grip"
"أَجِنْدَةٌ";"gündem";"Gündem, ajanda"
"حَكَمَ";"hakem";"Hakem, yargıç, hükmetmek"
"هَامْبُرْغَر";"hamburger";"Hamburger"
"هَامْسِي";"hamsi";"Hamsi"
"هَلِيكُوبْتَر";"helikopter";"Helikopter, döner kanatlı uçak"
"اِبْتِدَائِيَّةٌ";"ilkokul";"İlkokul"
"اِسْ";"is";"İşaret et, göster"
"أَسْمَاءٌ";"isimler";"İsimler"
"اِسْمٌ";"isminne";"İsim, ad"
"jilet";"jilet";"شفرة حلاقة"
"زَحْمَةٌ";"kalabalık";"Kalabalık, izdiham"
"قَلَمِي";"kalemim";"Kalemim"
"حَمَّامٌ مَعْدِنِيٌّ";"kaplıca";"Kaplıca, maden suyu banyosu"
"مُصَمِّمٌ";"kararlı";"Kararlı, azimli, kesin"
"تَقَاطُعٌ";"kavşak";"kavşak, kesişim, yol ayrımı"
"كَلَّ";"kel";"Yoruldu, bıktı, usandı"
"kelebek";"kelebek";"فَرَاشَة"
"كَتَبَ";"ketebe";"Yazdı"
"كِتَاب";"kitap";"Ciltlenmiş veya ciltlenmemiş, basılı veya yazılı sayfalar topluluğu, kitap."
"كُولَا";"kola";"Kola"
"قُوتُ";"kutu";"yiyecek, gıda"
"كُرَوِيٌّ";"küresel";"küresel, global"
"لَالَةٌ";"lale";"Lale"
"لَوْدِنْج";"loading";"Yükleniyor"
"لَوْ سَمَحْتَ";"lütfen";"Lütfen, rica ederim"
"مَقَالَةٌ";"makale";"Makale, yazı, deneme"
"مَعْنًى";"mana";"mana, anlam, kavram"
"مَعْدَنُوسٌ";"maydanoz";"Maydanoz"
"مَلَكَةٌ";"melekə";"Kraliçe, melike, yetenek, beceri"
"سَلَّةُ الْفَوَاكِهِ";"meyve sepeti";"Meyve sepeti"
"نَائِبٌ";"milletvekili";"Milletvekili, vekil"
"مِنْحَةٌ";"minha";"Burs, hibe, bağış"
"صُنْبُورٌ";"musluk";"Musluk, çeşme"
"مُوَفَّقِيَّةٌ";"muvaffakiyet";"Başarı, muvaffakiyet"
"مُوَكِّلٌ";"muvekkil";"Müvekkil, vekil eden"
"مِبْضَعٌ";"neşter";"Cerrahi operasyonlarda kullanılan kesici alet."
"نِدَاءٌ";"nida";"Nida, çağrı, sesleniş"
